,name,sqft,sqm,psf,location,amenities,amenities_count,price
453,Industrial Office in Noel Building,1969,182.93,1117,Potong Pasir (D13),"['24 hr access', 'Car park']",2,2200000
454,Office in Woods Square,560,52.03,1786,Woodlands (D25),"['Column free', 'Broadband', 'Cctv', 'Car park', '24 hr access', 'Security access', 'Air conditioning']",7,1000000
455,Factory in K.B. Warehouse Complex,8428,782.99,314,Paya Lebar (D14),"['Column free', 'Cctv', '24 hr access', 'Car park']",4,2650000
456,Showroom in Midview City,1528,141.96,3,Thomson (D20),"['Security access', 'Cctv', 'Car park', '24 hr access', 'Column free', 'Water trap']",6,4890
457,Retail in Golden Mile Tower,549,51,4,Rochor (D7),[],0,2141
458,Office in Far East Square,3348,311.04,7,Marina (D1),"['Air conditioning', 'Cctv', '24 hr access']",3,22766
459,Retail in Orchard Towers,635,58.99,6299,River Valley (D9),"['Air conditioning', 'Loading bay', 'Car park']",3,4000000
460,Shophouse in Kampong Glam Conservation Area,900,83.61,3667,Rochor (D7),"['Bath room', '24 hr access', 'Kitchen']",3,3300000
461,Shophouse in 19 Lembu Road,2400,222.97,2333,Serangoon Rd (D8),['24 hr access'],1,5600000
462,Industrial Office in Mega @ Woodlands,1711,158.96,373,Woodlands (D25),[],0,638000
463,Office in Midland House,4532,421.04,1324,Rochor (D7),"['Cctv', '24 hr access']",2,6000000
464,General Industrial in Link @ AMK,4629,430.05,750,Thomson (D20),[],0,3471750
465,Retail in 183 Longhaus,441,40.97,4535,Thomson (D20),"['Cctv', 'Car park']",2,2000000
466,Office in Hexacube,840,78.04,1932,Paya Lebar (D14),[],0,1623000
467,Factory in Ark @ Gambas,1604,149.02,436,Yishun (D27),[],0,700000
468,Retail in Royal Square At Novena,420,39.02,4879,Toa Payoh (D12),"['Handicap friendly', 'Security access', 'Cctv', 'Reception services', 'Car park', '24 hr access', 'Air conditioning']",7,2049315
469,Shophouse in Bedok Town Centre,4058,377,2486,Upper East Coast (D16),['24 hr access'],1,10088888
470,General Industrial in Nordcom One,1711,158.96,293,Yishun (D27),[],0,501462
471,Shophouse in 56 New Upper Changi Road,1518,141.03,2174,Upper East Coast (D16),[],0,3300000
472,Factory in Nordix,6577,611.02,426,Yishun (D27),[],0,2800000
473,Factory in Proxima@Gambas,1776,165,242,Yishun (D27),[],0,430000
474,Factory in Proxima@Gambas,1843,171.22,244,Yishun (D27),[],0,450000
475,Factory in Proxima@Gambas,1774,164.81,281,Yishun (D27),[],0,499000
476,Factory in Oxley Bizhub 2,1916,178,501,Paya Lebar (D14),"['Security access', 'Column free', 'Large floor plate']",3,960000
477,Factory in Oxley Bizhub 2,1916,178,501,Paya Lebar (D14),"['Security access', 'Column free', 'Large floor plate']",3,960000
478,General Industrial in UB. One,1302,120.96,614,Paya Lebar (D14),"['Air conditioning', 'Column free', '24 hr access', 'Pantry']",4,800000
479,General Industrial in E-Centre @ Redhill,1044,96.99,603,Commonwealth (D3),"['Loading bay', 'Column free', 'Broadband', 'Car park', '24 hr access', 'Meeting rooms', 'Air conditioning']",7,630000
480,Shophouse in Blangah Garden,1442,133.97,1165,Telok Blangah (D4),[],0,1680000
481,Factory in T99,8310,772.02,193,Tuas (D22),[],0,1600000
482,Dormitory in Jalan Besut,91000,"8,454.17",176,Tuas (D22),"['Loading bay', 'Own generator', 'Security access', 'Videoconferencing', 'Cctv', 'Car park', 'Pantry', '24 hr access']",8,16000000
483,General Industrial in Harvest @ Woodlands,2163,200.95,347,Yishun (D27),"['Reception services', 'Pantry', 'Meeting rooms']",3,750000
484,Food & Beverage in Enterprise One,10409,967.03,1441,Paya Lebar (D14),['Kitchen'],1,15000005
485,Office in Eon Shenton,1765,163.97,2997,Tanjong Pagar (D2),[],0,5290000
486,Factory in Agrow Building,3121,289.95,801,Paya Lebar (D14),[],0,2500000
487,Factory in Northstar @ AMK,1950,181.16,615,Thomson (D20),[],0,1200000
488,Factory in Proxima@Gambas,1774,164.81,281,Yishun (D27),[],0,499000
489,Retail in Pavilion Square,323,30.01,5929,Paya Lebar (D14),[],0,1915000
490,General Industrial in Win 5,2901,269.51,202,Yishun (D27),[],0,585000
491,Office in Singapore Labour Foundation Complex,9400,873.29,1011,Novena (D11),[],0,9500000
492,Factory in Oxley Bizhub 2,1916,178,501,Paya Lebar (D14),"['Security access', 'Column free', 'Large floor plate']",3,960000
493,General Industrial in Mega @ Woodlands,1830,170.01,249,Woodlands (D25),"['Air conditioning', '24 hr access']",2,456000
494,Retail in The Flow,775,72,2452,Marine Parade (D15),[],0,1900000
495,General Industrial in Ubi Techpark,1130,104.98,519,Paya Lebar (D14),"['Air conditioning', '24 hr access']",2,587000
496,General Industrial in Paya Ubi Industrial Park,6696,622.08,267,Paya Lebar (D14),"['Loading bay', 'Car park', '24 hr access']",3,1788000
497,Factory in Synergy @ KB,1216,112.97,354,Paya Lebar (D14),"['Loading bay', 'Column free', '24 hr access', 'Car park']",4,430000
498,Factory in Synergy @ KB,3638,337.98,330,Paya Lebar (D14),"['Loading bay', 'Bath room', 'Column free', '24 hr access', 'Car park']",5,1200000
499,Factory in Synergy @ KB,2637,244.99,379,Paya Lebar (D14),"['Loading bay', 'Bath room', 'Column free', '24 hr access', 'Car park']",5,1000000
500,Factory in I-Lofts @ Changi,5866,544.97,222,Changi Village (D17),"['Bath room', '24 hr access', 'Car park']",3,1300000
501,Office in Havelock2,614,57.04,1873,Marina (D1),"['Column free', '24 hr access', 'Car park']",3,1150000
502,Shophouse in Eng Hoon Street,915,85.01,5246,Commonwealth (D3),['Bath room'],1,4800000
503,Industrial Office in Eunos Techpark,7707,716,388,Paya Lebar (D14),"['Air conditioning', 'Security access', 'Car park', 'Pantry']",4,2990000
504,Factory in T99,14689,"1,364.65",347,Tuas (D22),[],0,5100000
505,Factory in T99,14671,"1,362.98",348,Tuas (D22),[],0,5100000
506,Retail in Alexandra Central,915,85.01,5464,Commonwealth (D3),"['Air conditioning', 'Kitchen']",2,5000000
507,Office in Singapore Business Federation Center,800,74.32,3350,Marina (D1),"['Air conditioning', '24 hr access', 'Car park']",3,2680000
508,Office in Singapore Business Federation Center,950,88.26,3421,Marina (D1),"['Air conditioning', '24 hr access', 'Car park']",3,3250000
509,Factory in Genting Road,9100,845.42,989,Potong Pasir (D13),"['Raised floor', 'Column free', '24 hr access', 'Large floor plate', 'Car park']",5,9000000
510,Office in Centrium Square,1012,94.02,3063,Serangoon Rd (D8),[],0,3100000
511,Shophouse in 784 Upper Bukit Timah Road,1225,113.81,2694,Choa Chu Kang (D23),[],0,3300000
512,Factory in T-Space,2196,204.01,328,Tampines (D18),"['Air conditioning', 'Bath room', '24 hr access', 'Car park']",4,720000
513,Factory in K.B. Warehouse Complex,9000,836.13,289,Paya Lebar (D14),[],0,2600000
514,Retail in The Flow,775,72,2530,Marine Parade (D15),[],0,1961000
515,Factory in Gordon Warehouse Building,1649,153.2,273,Paya Lebar (D14),"['Loading bay', 'Column free']",2,450000
516,Factory in CT FoodChain,3509,326,679,Clementi (D5),"['Air conditioning', 'Security access']",2,2383122
517,Factory in One Commonwealth,1959,182,453,Commonwealth (D3),[],0,888000
518,Office in Centropod @ Changi,704,65.4,1534,Paya Lebar (D14),"['Bath room', 'Broadband', 'Car park', '24 hr access', 'Meeting rooms', 'Air conditioning', 'Water trap']",7,1080000
519,Retail in Parklane Shopping Mall,450,41.81,1556,Rochor (D7),[],0,700000
520,Factory in T99,8148,756.97,183,Tuas (D22),['24 hr access'],1,1489000
521,Warehouse in The Westcom,2152,199.93,431,Tuas (D22),['24 hr access'],1,928000
522,General Industrial in Lam Soon Industrial Building,2787,258.92,600,Choa Chu Kang (D23),"['24 hr access', 'Large floor plate', 'Car park']",3,1672728
523,Warehouse in Sing Industrial Complex,2723,252.97,279,Thomson (D20),[],0,760000
524,Retail in Midpoint Orchard,300,27.87,8333,River Valley (D9),[],0,2500000
525,Office in Southbank,689,64.01,1887,Rochor (D7),[],0,1300000
526,Retail in Bukit Timah Shopping Centre,182,16.91,3022,Upper Bukit Timah (D21),"['Cctv', '24 hr access']",2,550000
527,Retail in Bukit Timah Shopping Centre,160,14.86,3750,Upper Bukit Timah (D21),"['Cctv', '24 hr access']",2,600000
528,Office in The Sunflower,1400,130.06,1036,Paya Lebar (D14),"['Air conditioning', 'Column free', '24 hr access']",3,1450000
529,Retail in Bukit Timah Shopping Centre,2206,204.94,1995,Upper Bukit Timah (D21),"['Air conditioning', '24 hr access']",2,4400000
530,Factory in Admiralty Industrial Park,1300,120.77,308,Yishun (D27),"['Air conditioning', 'Bath room', '24 hr access', 'Car park']",4,400000
531,Factory in Pantech Business Hub,3638,337.98,371,Clementi (D5),[],0,1350000
532,Shophouse in HDB-Ang Mo Kio,1518,141.03,1285,Thomson (D20),"['Air conditioning', 'Bath room', 'Car park', 'Kitchen']",4,1950000
533,Retail in People's Park Complex,450,41.81,3667,Marina (D1),['Air conditioning'],1,1650000
534,Retail in Stars Of Kovan,657,61.04,6233,Sengkang (D19),"['Bath room', 'Air conditioning', 'Water trap', '24 hr access']",4,4094888
535,Office in Woods Square,657,61.04,2125,Woodlands (D25),"['Reception services', 'Car park', 'Pantry', 'Turnstile', 'Air conditioning', 'Water trap']",6,1395888
536,Retail in 31 Kelantan Lane,1162,107.95,1532,Serangoon Rd (D8),[],0,1780000
537,Retail in Kinta Road,1150,106.84,4783,Serangoon Rd (D8),"['Air conditioning', 'Bath room', 'Column free', '24 hr access']",4,5500000
538,Office in Blangah View,1442,133.97,1096,Telok Blangah (D4),[],0,1580000
539,Factory in North Spring Bizhub,1604,149.02,549,Yishun (D27),"['24 hr access', 'Dual power']",2,880000
540,Factory in Enterprise Hub,8051,747.96,248,Tuas (D22),"['24 hr access', 'Dual power']",2,2000000
541,Factory in Enterprise One,2271,210.98,621,Paya Lebar (D14),[],0,1411349
542,Factory in Enterprise One,2153,200.02,746,Paya Lebar (D14),[],0,1606231
543,Office in Bylands Building,247,22.95,1818,Rochor (D7),"['Air conditioning', '24 hr access', 'Car park']",3,449000
544,Shophouse in Race Course Road/Owen Road Conservation Area,1725,160.26,2899,Serangoon Rd (D8),"['Air conditioning', 'Cctv', 'Car park']",3,5000000
545,Retail in Bukit Timah Shopping Centre,201,18.67,3483,Upper Bukit Timah (D21),"['Air conditioning', 'Cctv', '24 hr access']",3,700000
546,General Industrial in North Point Bizhub,2648,246.01,272,Yishun (D27),[],0,720000
547,General Industrial in Pioneer Centre,1497,139.08,267,Tuas (D22),[],0,400000
548,Office in Plus,786,73.02,2988,Marina (D1),"['Air conditioning', 'Security access']",2,2348422
549,Office in Ubi Techpark,1100,102.19,682,Paya Lebar (D14),[],0,750000
550,Factory in 23B Loyang Crescent,159071,"14,778.17",138,Changi Village (D17),[],0,22000000
551,Office in Bylands Building,183,17,2022,Rochor (D7),"['Air conditioning', 'Meeting rooms']",2,370000
552,Retail in 183 Longhaus,1808,167.97,3531,Thomson (D20),"['Cctv', 'Car park']",2,6384161
553,Retail in 183 Longhaus,1442,133.97,3582,Thomson (D20),"['Cctv', 'Car park']",2,5165244
554,Office in Tripleone Somerset,538,49.98,2788,River Valley (D9),[],0,1500000
555,Office in Tripleone Somerset,1346,125.05,2823,River Valley (D9),[],0,3800000
556,Retail in Roxy Square,410,38.09,3610,Marine Parade (D15),"['Security access', 'Air conditioning', 'Water trap', 'Column free']",4,1480000
557,Shophouse in Teck Whye Heights III,300,27.87,467,Choa Chu Kang (D23),[],0,140000
558,Shophouse in Teo Hong Road,1100,102.19,4,Tanjong Pagar (D2),"['Air conditioning', 'Bath room', 'Meeting rooms']",3,3999
559,Office in EPL Building,175,16.26,5,Commonwealth (D3),['Air conditioning'],1,875
560,Retail in Alexis,194,18.02,13,Commonwealth (D3),"['Loading bay', 'Car park']",2,2500
561,Factory in Kaki Bukit Techpark I,16200,"1,505.03",346,Paya Lebar (D14),[],0,5600000
562,Shophouse in 31 Kelantan Lane,1162,107.95,1635,Serangoon Rd (D8),[],0,1900000
563,Retail in Fortune Centre,290,26.94,1862,Rochor (D7),[],0,540000
564,Retail in Tras Link,301,27.96,7309,Tanjong Pagar (D2),"['Loading bay', 'Handicap friendly', 'Column free', 'Cctv', 'Car park', '24 hr access', 'Backup generator', 'Air conditioning']",8,2200000
565,Retail in KAP,301,27.96,5814,Upper Bukit Timah (D21),"['Air conditioning', 'Column free']",2,1750000
566,Office in One North Bridge / High Street Centre,635,58.99,2047,Clarke Quay (D6),[],0,1300000
567,Retail in Stars Of Kovan,441,40.97,5556,Sengkang (D19),[],0,2450000
568,Factory in Synergy @ KB,1636,151.99,320,Paya Lebar (D14),[],0,524000
569,Factory in Ace Building,5866,544.97,938,Paya Lebar (D14),[],0,5500000
570,Factory in One Commonwealth,2045,189.99,538,Commonwealth (D3),[],0,1100000
571,Retail in Stars Of Kovan,614,57.04,6503,Sengkang (D19),[],0,3993000
572,Retail in Stars Of Kovan,721,66.98,4831,Sengkang (D19),[],0,3483000
573,Retail in Stars Of Kovan,753,69.96,4843,Sengkang (D19),[],0,3647000
574,Retail in Stars Of Kovan,689,64.01,6358,Sengkang (D19),[],0,4381000
575,Retail in Stars Of Kovan,603,56.02,5232,Sengkang (D19),[],0,3155000
576,Retail in Stars Of Kovan,527,48.96,5626,Sengkang (D19),[],0,2965000
577,Retail in Stars Of Kovan,646,60.02,6231,Sengkang (D19),[],0,4025000
578,Retail in Stars Of Kovan,474,44.04,5576,Sengkang (D19),[],0,2643000
579,Food & Beverage in 18 Kim Chuan Terrace,3014,280.01,1154,Sengkang (D19),"['Grease trap', 'Loading bay', '24 hr access', 'Car park']",4,3477000
580,Food & Beverage in 18 Kim Chuan Terrace,2099,195,1730,Sengkang (D19),"['Grease trap', 'Loading bay', '24 hr access', 'Car park']",4,3631000
581,Food & Beverage in 18 Kim Chuan Terrace,2659,247.03,1131,Sengkang (D19),"['Grease trap', 'Loading bay', '24 hr access', 'Car park']",4,3007000
582,Food & Beverage in CT FoodChain,3520,327.02,733,Clementi (D5),[],0,2580000
583,Food & Beverage in CT FoodChain,6372,591.98,907,Clementi (D5),[],0,5777850
584,Factory in Synergy @ KB,1216,112.97,354,Paya Lebar (D14),[],0,430000
585,Office in United House,549,51,3005,River Valley (D9),['Meeting rooms'],1,1650000
586,Retail in Win 5,4500,418.06,778,Yishun (D27),[],0,3500000
587,Shophouse in 510 Bedok North Street 3,1625,150.97,2154,Upper East Coast (D16),[],0,3500000
588,Retail in Alexis,3068,285.03,3259,Commonwealth (D3),[],0,10000000
589,Shophouse in Alexis,194,18.02,5155,Commonwealth (D3),['Car park'],1,1000000
590,Shophouse in Alexis,140,13.01,6343,Commonwealth (D3),"['Air conditioning', 'Car park']",2,888000
591,Shophouse in Alexis,1690,157.01,3254,Commonwealth (D3),"['Air conditioning', 'Car park']",2,5500000
592,Shophouse in Blangah Court,1173,108.98,2131,Telok Blangah (D4),"['Air conditioning', 'Loading bay', 'Car park']",3,2500000
593,Shophouse in Alexis,2000,185.81,3600,Commonwealth (D3),"['Air conditioning', 'Car park']",2,7200000
594,Retail in Woodlands Horizon,4750,441.29,1221,Woodlands (D25),['Car park'],1,5800000
595,Shophouse in Vibes @ East Coast,398,36.98,3894,Marine Parade (D15),[],0,1550000
596,Retail in Millage,161,14.96,7764,Paya Lebar (D14),[],0,1250000
597,Shophouse in Alexis,1378,128.02,3628,Commonwealth (D3),"['Air conditioning', 'Car park']",2,5000000
598,Retail in Beauty World Plaza,151,14.03,6623,Upper Bukit Timah (D21),['Car park'],1,1000000
599,Retail in Alexandra Central,1420,131.92,5634,Commonwealth (D3),[],0,8000000
600,Retail in Jalan Kayu Estate,2874,267,2366,Yio Chu Kang (D28),['Car park'],1,6800000
601,General Industrial in Pioneer Road North,74000,"6,874.82",128,Tuas (D22),['Column free'],1,9500000
602,General Industrial in Pioneer Road North,150000,"13,935.45",50,Tuas (D22),[],0,7500000
603,Factory in International Road,51000,"4,738.05",108,Tuas (D22),[],0,5500000
604,General Industrial in Tuas View Link,10104,938.69,317,Tuas (D22),[],0,3200000
605,General Industrial in Jalan Terusan,163000,"15,143.19",98,Tuas (D22),[],0,16000000
606,General Industrial in Tuas South Avenue 6,6500,603.87,506,Tuas (D22),[],0,3290000
607,General Industrial in Tuas South Avenue 3,9973,926.52,381,Tuas (D22),[],0,3800000
608,General Industrial in Tuas South Avenue 6,40700,"3,781.15",135,Tuas (D22),[],0,5500000
609,General Industrial in Pioneer Road,79500,"7,385.79",138,Tuas (D22),[],0,11000000
610,Factory in International Road,13900,"1,291.35",207,Tuas (D22),[],0,2880000
611,General Industrial in Tuas Avenue 20,142000,"13,192.23",112,Tuas (D22),"['Bath room', 'Loading bay', 'Car park']",3,15880000
612,General Industrial in Gul Avenue,27900,"2,591.99",168,Tuas (D22),['Loading bay'],1,4700000
613,General Industrial in Tuas South Avenue 6,27200,"2,526.96",221,Tuas (D22),[],0,6000000
614,Office in WIS @ Changi,495,45.99,1859,Paya Lebar (D14),[],0,920000
615,Office in Shenton House,441,40.97,2494,Marina (D1),[],0,1100000
616,Factory in North Spring Bizhub,1539,142.98,458,Yishun (D27),[],0,705000
617,Retail in Centropod @ Changi,183,17,2596,Paya Lebar (D14),[],0,475000
618,Shophouse in 151 Bukit Batok Street 11,1485,137.96,2074,Choa Chu Kang (D23),"['24 hr access', 'Car park']",2,3080000
619,Office in Oxley Bizhub,2000,185.81,475,Paya Lebar (D14),[],0,950000
620,Office in Peninsula Plaza,495,45.99,2384,Clarke Quay (D6),"['Bath room', 'Security access', 'Broadband', 'Cctv', 'Reception services', 'Car park', 'Meeting rooms']",7,1180000
621,Retail in 258 Geylang Road,3800,353.03,1184,Paya Lebar (D14),"['Air conditioning', 'Bath room', 'Kitchen']",3,4500000
622,Factory in Central-Link,1232,114.46,601,Commonwealth (D3),"['Bath room', 'Security access', 'Broadband', 'Car park', 'Meeting rooms', 'Air conditioning']",6,740000
623,Factory in Central-Link,1474,136.94,600,Commonwealth (D3),"['Bath room', 'Broadband', 'Car park', '24 hr access', 'Meeting rooms', 'Air conditioning']",6,885000
624,Industrial Office in Apex @ Henderson,2938,272.95,885,Commonwealth (D3),"['Bath room', '24 hr access']",2,2600000
625,Office in Plus,2626,243.96,3200,Marina (D1),"['Air conditioning', 'Bath room', '24 hr access']",3,8403200
626,Factory in Apex @ Henderson,7147,663.98,1119,Commonwealth (D3),"['Bath room', '24 hr access']",2,8000000
627,Shophouse in 510 Bedok North Street 3,1453,134.99,1170,Upper East Coast (D16),"['Bath room', '24 hr access', 'Car park']",3,1700000
628,Shophouse in Clementi Avenue 2 Shopping Centre,1614,149.95,1177,Clementi (D5),"['Bath room', '24 hr access', 'Car park']",3,1900000
629,Retail in Centropod @ Changi,183,17,2596,Paya Lebar (D14),[],0,475000
630,Retail in Midtown Residences,958,89,3329,Sengkang (D19),"['Grease trap', 'Water trap', 'Cctv', 'Air conditioning', 'Car park']",5,3188888
631,Factory in KB-1,1635,151.9,135,Paya Lebar (D14),"['Loading bay', '24 hr access', 'Car park']",3,220000
632,Warehouse in Tagore 8,3574,332.04,638,Upper Thomson (D26),['Air conditioning'],1,2280000
633,Factory in 63 Kaki Bukit Place,20271,"1,883.24",370,Paya Lebar (D14),[],0,7500000
634,Factory in Eunos Techpark,2271,210.98,430,Paya Lebar (D14),[],0,976530
635,General Industrial in The Commerze @ Irving,1033,95.97,774,Potong Pasir (D13),['24 hr access'],1,800000
636,Retail in Centropod @ Changi,248,23.04,3786,Paya Lebar (D14),"['Water trap', 'Column free', '24 hr access']",3,938888
637,Factory in Admiralty Industrial Park,1894,175.96,480,Yishun (D27),"['Air conditioning', '24 hr access', 'Car park']",3,909120
638,Factory in Paya Ubi Industrial Park,6250,580.64,296,Paya Lebar (D14),['24 hr access'],1,1850000
639,Dormitory in Hon Industries Building,37674,"3,500.03",239,Tuas (D22),"['Bath room', 'Cctv', 'Meeting rooms']",3,9000000
640,Warehouse in Carros Centre,1690,157.01,600,Woodlands (D25),[],0,1014000
641,Factory in 7 Mandai Estate,1787,166.02,1367,Woodlands (D25),[],0,2443000
642,Factory in 7 Mandai Estate,10679,992.11,1719,Woodlands (D25),[],0,18355000
643,Factory in 7 Mandai Estate,3725,346.06,1443,Woodlands (D25),[],0,5376000
644,Factory in Carros Centre,1690,157.01,984,Woodlands (D25),[],0,1662210
645,Factory in CT FoodChain,3520,327.02,694,Clementi (D5),"['24 hr access', 'Car park']",2,2442491
646,Factory in 7 Mandai Estate,2067,192.03,1926,Woodlands (D25),[],0,3982000
647,Factory in North View Bizhub,1808,167.97,270,Yishun (D27),[],0,488160
648,Factory in Gordon Warehouse Building,1776,165,242,Paya Lebar (D14),[],0,430000
649,Office in Havelock2,786,73.02,2798,Marina (D1),[],0,2199000
650,Office in Havelock2,786,73.02,2798,Marina (D1),[],0,2199000
651,Office in Vision Exchange,517,48.03,2495,Tuas (D22),"['Air conditioning', '24 hr access', 'Raised floor']",3,1290000
652,Shophouse in Toa Payoh Central,1238,115.01,3069,Toa Payoh (D12),"['Air conditioning', '24 hr access', 'Car park']",3,3800000
653,Office in The Arizon,1054,97.92,1158,Paya Lebar (D14),"['Bath room', 'Car park', 'Pantry', '24 hr access', 'Meeting rooms', 'Air conditioning']",6,1220000
654,Retail in People's Park Complex,484,44.97,1818,Marina (D1),[],0,880000
655,Industrial Office in Wintech Centre,1830,170.01,474,Paya Lebar (D14),"['Cctv', '24 hr access']",2,868000
656,Shophouse in Nee Soon Central Vista,1400,130.06,343,Yishun (D27),"['Bath room', 'Car park', '24 hr access']",3,480000
657,Office in Woods Square,936,86.96,2069,Woodlands (D25),['Air conditioning'],1,1936790
658,Food & Beverage in Gambas Crescent,5329,495.08,1066,Yishun (D27),['Grease trap'],1,5680700
659,Factory in Nordcom Two,1668,154.96,370,Yishun (D27),[],0,616663
660,Retail in Teck Whye Heights III,140,13.01,10714,Choa Chu Kang (D23),[],0,1500000
661,Land with Building in Jalan Besar,6000,557.42,12500,Serangoon Rd (D8),[],0,75000000
662,Industrial Office in AMK Tech II,1915,177.91,151,Thomson (D20),[],0,290000
663,Factory in K.B. Warehouse Complex,8428,782.99,314,Paya Lebar (D14),"['Loading bay', 'Column free', '24 hr access', 'Large floor plate', 'Car park']",5,2650000
664,Factory in Food Concept @ Pandan,2077,192.96,1569,Clementi (D5),"['Loading bay', 'Bath room', 'Cctv', 'Car park', '24 hr access', 'Water trap', 'Kitchen']",7,3258888
665,Office in Burlington Square,570,52.95,2281,Rochor (D7),[],0,1300000
666,Retail in Queensway Shopping Centre/Queensway Tower,2700,250.84,2778,Commonwealth (D3),"['Column free', 'Cctv', 'Car park', '24 hr access', 'Large floor plate', 'Security access', 'Air conditioning']",7,7500000
667,Factory in CT Hub,1808,167.97,951,Toa Payoh (D12),[],0,1720000
668,Shophouse in Toa Payoh Palm Spring,1378,128.02,1234,Toa Payoh (D12),"['Air conditioning', 'Chilled water supply', 'Pantry']",3,1700000
669,General Industrial in I-Lofts @ Changi,6650,617.8,226,Changi Village (D17),"['Loading bay', 'Meeting rooms', 'Column free', '24 hr access', 'Car park']",5,1500000
670,Shophouse in Desker Road,2636,244.89,1385,Serangoon Rd (D8),"['Air conditioning', 'Bath room', '24 hr access', 'Pantry']",4,3650000
671,Office in Eon Shenton,1109,103.03,2480,Tanjong Pagar (D2),"['Loading bay', 'Column free', 'Bath room', 'Car park', '24 hr access', 'Air conditioning']",6,2750000
672,Office in Eon Shenton,1700,157.94,2471,Tanjong Pagar (D2),"['Bath room', 'Column free', 'Car park', 'Pantry', '24 hr access', 'Air conditioning', 'Water trap']",7,4200000
673,General Industrial in Vertex,2196,204.01,455,Paya Lebar (D14),"['Bath room', 'Column free', 'Car park', '24 hr access', 'Meeting rooms', 'Air conditioning']",6,1000000
674,Retail in Centropod @ Changi,183,17,2596,Paya Lebar (D14),[],0,475000
675,Retail in Centropod @ Changi,183,17,2596,Paya Lebar (D14),[],0,475000
676,Retail in Centropod @ Changi,183,17,2596,Paya Lebar (D14),[],0,475000
677,Retail in Centropod @ Changi,183,17,2596,Paya Lebar (D14),[],0,475000
678,Retail in Centropod @ Changi,183,17,2596,Paya Lebar (D14),[],0,475000
679,Retail in Centropod @ Changi,183,17,2596,Paya Lebar (D14),[],0,475000
680,Retail in Ming Arcade,161,14.96,3901,Holland (D10),"['Air conditioning', 'Security access']",2,628000
681,Office in Eon Shenton,1109,103.03,2570,Tanjong Pagar (D2),"['Bath room', 'Cctv', 'Car park', 'Pantry', '24 hr access', 'Large floor plate', 'Air conditioning', 'Water trap']",8,2850000
682,Retail in The Beo Crescent,656,60.94,1677,Commonwealth (D3),"['Bath room', 'Cat 5/6 cabling']",2,1100000
683,Shophouse in Little India Conservation Area,3200,297.29,1875,Serangoon Rd (D8),[],0,6000000
684,Factory in Enterprise Hub,4101,381,268,Tuas (D22),[],0,1100000
685,Shophouse in Desker Road,3800,353.03,2316,Serangoon Rd (D8),"['Grease trap', 'Car park', 'Pantry', '24 hr access', 'Air conditioning', 'Water trap', 'Kitchen']",7,8800000
686,Shophouse in Holland Village,1861,172.89,6985,Holland (D10),[],0,13000000
687,Office in Woods Square,657,61.04,1830,Woodlands (D25),"['Loading bay', 'Handicap friendly', 'Security access', 'Car park', 'Dual power', '24 hr access', 'Column free', 'Air conditioning']",8,1202031
688,Retail in Beauty World Plaza,151,14.03,6623,Upper Bukit Timah (D21),"['Air conditioning', 'Column free', '24 hr access', 'Car park']",4,1000000
689,Factory in 7 Tuas South Street 11,79999,"7,432.15",125,Tuas (D22),"['24 hr access', 'Dual power']",2,10000000
690,Office in Woods Square,936,86.96,1929,Woodlands (D25),"['Security access', 'Car park', 'Dual power', '24 hr access', 'Column free', 'Air conditioning']",6,1805634
691,Office in Suntec City Towers,11840,"1,099.97",2872,Marina (D1),[],0,34000000
692,Retail in Zhujiao Centre (Tekka Market),1830,170.01,2322,Serangoon Rd (D8),[],0,4250000
693,Shophouse in Serangoon Garden Estate,4800,445.93,1458,Sengkang (D19),"['Bath room', 'Air conditioning', 'Water trap', '24 hr access', 'Pantry']",5,7000000
694,Office in The Central,640,59.46,2656,Marina (D1),['Air conditioning'],1,1700000
695,Shophouse in Syed Alwi Road,1800,167.23,3000,Serangoon Rd (D8),[],0,5400000
696,Warehouse in 7 Jalan Besut,162000,"15,050.29",104,Tuas (D22),"['Bath room', 'Car park', 'Pantry', '24 hr access', 'Server room', 'Meeting rooms', 'Air conditioning', 'Loading bay']",8,16850000
697,Retail in The Midtown,968,89.93,3719,Sengkang (D19),[],0,3600000
698,Factory in Enterprise One,10409,967.03,1441,Paya Lebar (D14),[],0,15000000
699,Factory in Loyang Way 1,74398,"6,911.8",81,Changi Village (D17),"['Loading bay', 'Column free', 'Large floor plate']",3,6000000
700,Warehouse in 7 Tuas South Street 11,65000,"6,038.69",154,Tuas (D22),[],0,10000000
701,Retail in 725 Clementi West Street 2,1636,151.99,2439,Clementi (D5),[],0,3990000
702,Factory in Pioneer Junction,1507,140,239,Tuas (D22),[],0,360000
703,Retail in Sultan Plaza,893,82.96,1960,Rochor (D7),[],0,1750000
704,Retail in Hexacube,387,35.95,4599,Paya Lebar (D14),[],0,1780000
705,Factory in Woodlands 11,1830,170.01,410,Woodlands (D25),"['Air conditioning', 'Column free', 'Loading bay', 'Large floor plate']",4,750300
706,Retail in The Central,636,59.09,2956,Marina (D1),"['Bath room', 'Column free', 'Cctv', 'Car park', 'Pantry', '24 hr access', 'Security access', 'Air conditioning']",8,1880000
707,Retail in Concorde Shopping Centre,215,19.97,1953,Commonwealth (D3),[],0,420000
708,General Industrial in Tagore Lane,4703,436.92,1701,Upper Thomson (D26),"['Broadband', 'Air conditioning', 'Loading bay', 'Car park', 'Pantry']",5,8000000
